2012-07-07 03:14:04 startup archives unpack
2012-07-07 03:14:05 install smbclient:powerpc <none> 2:3.6.5-7
2012-07-07 03:14:05 status half-installed smbclient:powerpc 2:3.6.5-7
2012-07-07 03:14:05 status triggers-pending man-db:powerpc 2.6.2-1
2012-07-07 03:14:05 status half-installed smbclient:powerpc 2:3.6.5-7
2012-07-07 03:14:19 status unpacked smbclient:powerpc 2:3.6.5-7
2012-07-07 03:14:19 status unpacked smbclient:powerpc 2:3.6.5-7
2012-07-07 03:14:20 trigproc man-db:powerpc 2.6.2-1 2.6.2-1
2012-07-07 03:14:20 status half-configured man-db:powerpc 2.6.2-1
2012-07-07 03:14:37 status installed man-db:powerpc 2.6.2-1
2012-07-07 03:14:38 startup packages configure
2012-07-07 03:14:38 configure smbclient:powerpc 2:3.6.5-7 <none>
2012-07-07 03:14:38 status unpacked smbclient:powerpc 2:3.6.5-7
2012-07-07 03:14:38 status half-configured smbclient:powerpc 2:3.6.5-7
2012-07-07 03:14:38 status installed smbclient:powerpc 2:3.6.5-7
2012-07-07 07:08:52 startup archives unpack
2012-07-07 07:08:53 upgrade groff-base:powerpc 1.21-7 1.21-9
2012-07-07 07:08:53 status half-configured groff-base:powerpc 1.21-7
2012-07-07 07:08:53 status unpacked groff-base:powerpc 1.21-7
2012-07-07 07:08:53 status half-installed groff-base:powerpc 1.21-7
2012-07-07 07:08:54 status triggers-pending man-db:powerpc 2.6.2-1
2012-07-07 07:08:54 status half-installed groff-base:powerpc 1.21-7
2012-07-07 07:08:55 status triggers-pending mime-support:all 3.52-1
2012-07-07 07:08:55 status half-installed groff-base:powerpc 1.21-7
2012-07-07 07:08:55 status half-installed groff-base:powerpc 1.21-7
2012-07-07 07:08:56 status unpacked groff-base:powerpc 1.21-9
2012-07-07 07:08:56 status unpacked groff-base:powerpc 1.21-9
2012-07-07 07:08:56 upgrade vim-tiny:powerpc 2:7.3.547-1 2:7.3.547-3
2012-07-07 07:08:56 status half-configured vim-tiny:powerpc 2:7.3.547-1
2012-07-07 07:08:56 status unpacked vim-tiny:powerpc 2:7.3.547-1
2012-07-07 07:08:56 status half-installed vim-tiny:powerpc 2:7.3.547-1
2012-07-07 07:08:57 status half-installed vim-tiny:powerpc 2:7.3.547-1
2012-07-07 07:08:57 status unpacked vim-tiny:powerpc 2:7.3.547-3
2012-07-07 07:08:57 status unpacked vim-tiny:powerpc 2:7.3.547-3
2012-07-07 07:08:57 upgrade vim-common:powerpc 2:7.3.547-1 2:7.3.547-3
2012-07-07 07:08:57 status half-configured vim-common:powerpc 2:7.3.547-1
2012-07-07 07:08:58 status unpacked vim-common:powerpc 2:7.3.547-1
2012-07-07 07:08:58 status half-installed vim-common:powerpc 2:7.3.547-1
2012-07-07 07:08:58 status half-installed vim-common:powerpc 2:7.3.547-1
2012-07-07 07:08:58 status half-installed vim-common:powerpc 2:7.3.547-1
2012-07-07 07:08:58 status half-installed vim-common:powerpc 2:7.3.547-1
2012-07-07 07:08:59 status unpacked vim-common:powerpc 2:7.3.547-3
2012-07-07 07:08:59 status unpacked vim-common:powerpc 2:7.3.547-3
2012-07-07 07:08:59 upgrade g++-4.6:powerpc 4.6.3-1 4.6.3-8
2012-07-07 07:08:59 status half-configured g++-4.6:powerpc 4.6.3-1
2012-07-07 07:08:59 status unpacked g++-4.6:powerpc 4.6.3-1
2012-07-07 07:08:59 status half-installed g++-4.6:powerpc 4.6.3-1
2012-07-07 07:09:03 status half-installed g++-4.6:powerpc 4.6.3-1
2012-07-07 07:09:03 status unpacked g++-4.6:powerpc 4.6.3-8
2012-07-07 07:09:03 status unpacked g++-4.6:powerpc 4.6.3-8
2012-07-07 07:09:03 upgrade libstdc++6-4.6-dev:powerpc 4.6.3-1 4.6.3-8
2012-07-07 07:09:03 status half-configured libstdc++6-4.6-dev:powerpc 4.6.3-1
2012-07-07 07:09:03 status unpacked libstdc++6-4.6-dev:powerpc 4.6.3-1
2012-07-07 07:09:04 status half-installed libstdc++6-4.6-dev:powerpc 4.6.3-1
2012-07-07 07:09:08 status half-installed libstdc++6-4.6-dev:powerpc 4.6.3-1
2012-07-07 07:09:08 status unpacked libstdc++6-4.6-dev:powerpc 4.6.3-8
2012-07-07 07:09:08 status unpacked libstdc++6-4.6-dev:powerpc 4.6.3-8
2012-07-07 07:09:09 upgrade gcc-4.6:powerpc 4.6.3-1 4.6.3-8
2012-07-07 07:09:09 status half-configured gcc-4.6:powerpc 4.6.3-1
2012-07-07 07:09:09 status unpacked gcc-4.6:powerpc 4.6.3-1
2012-07-07 07:09:09 status half-installed gcc-4.6:powerpc 4.6.3-1
2012-07-07 07:09:12 status half-installed gcc-4.6:powerpc 4.6.3-1
2012-07-07 07:09:12 status unpacked gcc-4.6:powerpc 4.6.3-8
2012-07-07 07:09:12 status unpacked gcc-4.6:powerpc 4.6.3-8
2012-07-07 07:09:13 upgrade cpp-4.6:powerpc 4.6.3-1 4.6.3-8
2012-07-07 07:09:13 status half-configured cpp-4.6:powerpc 4.6.3-1
2012-07-07 07:09:13 status unpacked cpp-4.6:powerpc 4.6.3-1
2012-07-07 07:09:13 status half-installed cpp-4.6:powerpc 4.6.3-1
2012-07-07 07:09:16 status half-installed cpp-4.6:powerpc 4.6.3-1
2012-07-07 07:09:16 status unpacked cpp-4.6:powerpc 4.6.3-8
2012-07-07 07:09:17 status unpacked cpp-4.6:powerpc 4.6.3-8
2012-07-07 07:09:17 upgrade gcc-4.6-base:powerpc 4.6.3-1 4.6.3-8
2012-07-07 07:09:17 status half-configured gcc-4.6-base:powerpc 4.6.3-1
2012-07-07 07:09:17 status unpacked gcc-4.6-base:powerpc 4.6.3-1
2012-07-07 07:09:17 status half-installed gcc-4.6-base:powerpc 4.6.3-1
2012-07-07 07:09:17 status half-installed gcc-4.6-base:powerpc 4.6.3-1
2012-07-07 07:09:17 status unpacked gcc-4.6-base:powerpc 4.6.3-8
2012-07-07 07:09:17 status unpacked gcc-4.6-base:powerpc 4.6.3-8
2012-07-07 07:09:18 upgrade cpp:powerpc 4:4.6.3-6 4:4.6.3-7
2012-07-07 07:09:18 status half-configured cpp:powerpc 4:4.6.3-6
2012-07-07 07:09:18 status unpacked cpp:powerpc 4:4.6.3-6
2012-07-07 07:09:18 status half-installed cpp:powerpc 4:4.6.3-6
2012-07-07 07:09:18 status half-installed cpp:powerpc 4:4.6.3-6
2012-07-07 07:09:18 status half-installed cpp:powerpc 4:4.6.3-6
2012-07-07 07:09:18 status unpacked cpp:powerpc 4:4.6.3-7
2012-07-07 07:09:18 status unpacked cpp:powerpc 4:4.6.3-7
2012-07-07 07:09:18 upgrade gcc:powerpc 4:4.6.3-6 4:4.6.3-7
2012-07-07 07:09:18 status half-configured gcc:powerpc 4:4.6.3-6
2012-07-07 07:09:19 status unpacked gcc:powerpc 4:4.6.3-6
2012-07-07 07:09:19 status half-installed gcc:powerpc 4:4.6.3-6
2012-07-07 07:09:19 status half-installed gcc:powerpc 4:4.6.3-6
2012-07-07 07:09:19 status half-installed gcc:powerpc 4:4.6.3-6
2012-07-07 07:09:19 status unpacked gcc:powerpc 4:4.6.3-7
2012-07-07 07:09:19 status unpacked gcc:powerpc 4:4.6.3-7
2012-07-07 07:09:19 upgrade g++:powerpc 4:4.6.3-6 4:4.6.3-7
2012-07-07 07:09:19 status half-configured g++:powerpc 4:4.6.3-6
2012-07-07 07:09:19 status unpacked g++:powerpc 4:4.6.3-6
2012-07-07 07:09:20 status half-installed g++:powerpc 4:4.6.3-6
2012-07-07 07:09:20 status half-installed g++:powerpc 4:4.6.3-6
2012-07-07 07:09:20 status half-installed g++:powerpc 4:4.6.3-6
2012-07-07 07:09:20 status unpacked g++:powerpc 4:4.6.3-7
2012-07-07 07:09:20 status unpacked g++:powerpc 4:4.6.3-7
2012-07-07 07:09:20 trigproc man-db:powerpc 2.6.2-1 2.6.2-1
2012-07-07 07:09:20 status half-configured man-db:powerpc 2.6.2-1
2012-07-07 07:09:31 status installed man-db:powerpc 2.6.2-1
2012-07-07 07:09:31 trigproc mime-support:all 3.52-1 3.52-1
2012-07-07 07:09:31 status half-configured mime-support:all 3.52-1
2012-07-07 07:09:31 status installed mime-support:all 3.52-1
2012-07-07 07:09:32 startup packages configure
2012-07-07 07:09:32 configure groff-base:powerpc 1.21-9 <none>
2012-07-07 07:09:32 status unpacked groff-base:powerpc 1.21-9
2012-07-07 07:09:32 status unpacked groff-base:powerpc 1.21-9
2012-07-07 07:09:33 status unpacked groff-base:powerpc 1.21-9
2012-07-07 07:09:33 status half-configured groff-base:powerpc 1.21-9
2012-07-07 07:09:33 status installed groff-base:powerpc 1.21-9
